datetime,serial_no,floor_level,zone_id,date_created,time_created,hour,ta,tg,rh,a_s,tmrt,pmv,ppd,lux,spl,co2
2019-01-01 00:00:00,416C1AE4,30,244,01/01/2019,00:00:00,0,24.03,24.11,59.00,0.08,24.17,0.49,10.00,0.00,44.00,510.58
2019-01-01 01:00:00,416C1AE4,30,244,01/01/2019,01:00:00,1,24.10,24.19,58.42,0.08,24.26,0.50,10.00,0.00,43.92,529.42
2019-01-01 02:00:00,416C1AE4,30,244,01/01/2019,02:00:00,2,24.15,24.32,58.00,0.08,24.45,0.50,10.75,0.00,43.92,544.67
2019-01-01 03:00:00,416C1AE4,30,244,01/01/2019,03:00:00,3,24.33,24.49,58.00,0.08,24.62,0.60,11.92,0.00,44.00,557.83
2019-01-01 04:00:00,416C1AE4,30,244,01/01/2019,04:00:00,4,24.50,24.58,57.42,0.08,24.65,0.60,12.00,0.00,43.67,571.58
2019-01-01 05:00:00,416C1AE4,30,244,01/01/2019,05:00:00,5,24.59,24.68,57.00,0.08,24.75,0.60,12.67,0.00,43.25,580.00
2019-01-01 06:00:00,416C1AE4,30,244,01/01/2019,06:00:00,6,24.71,24.81,57.00,0.09,24.89,0.60,13.33,0.00,43.33,579.58
2019-01-01 07:00:00,416C1AE4,30,244,01/01/2019,07:00:00,7,24.83,25.03,57.00,0.09,25.21,0.69,14.58,0.00,43.58,577.25
2019-01-01 08:00:00,416C1AE4,30,244,01/01/2019,08:00:00,8,25.13,25.48,57.00,0.11,25.80,0.76,16.83,0.00,43.25,569.83
2019-01-01 09:00:00,416C1AE4,30,244,01/01/2019,09:00:00,9,25.65,25.94,56.08,0.11,26.22,0.87,20.92,0.00,43.58,561.50
2019-01-01 10:00:00,416C1AE4,30,244,01/01/2019,10:00:00,10,26.07,26.30,56.00,0.12,26.53,0.90,23.08,0.00,43.83,556.83
2019-01-01 11:00:00,416C1AE4,30,244,01/01/2019,11:00:00,11,26.37,26.54,55.17,0.13,26.71,0.98,25.08,0.00,43.25,551.17
2019-01-01 12:00:00,416C1AE4,30,244,01/01/2019,12:00:00,12,26.49,26.63,55.00,0.13,26.78,1.00,26.25,0.00,43.50,543.33
2019-01-01 13:00:00,416C1AE4,30,244,01/01/2019,13:00:00,13,26.54,26.63,55.00,0.13,26.72,1.00,26.17,0.00,43.83,530.75
2019-01-01 14:00:00,416C1AE4,30,244,01/01/2019,14:00:00,14,26.49,26.64,55.00,0.12,26.79,1.00,26.75,0.00,43.83,519.08
2019-01-01 15:00:00,416C1AE4,30,244,01/01/2019,15:00:00,15,26.65,26.76,54.42,0.11,26.87,1.06,28.50,0.00,43.92,510.25
2019-01-01 16:00:00,416C1AE4,30,244,01/01/2019,16:00:00,16,26.77,26.85,54.00,0.11,26.93,1.10,29.58,0.00,43.83,503.42
2019-01-01 17:00:00,416C1AE4,30,244,01/01/2019,17:00:00,17,26.76,26.80,54.00,0.11,26.84,1.09,28.75,0.00,43.83,495.33
2019-01-01 18:00:00,416C1AE4,30,244,01/01/2019,18:00:00,18,26.68,26.78,54.00,0.11,26.87,1.09,28.75,0.00,43.00,486.67
2019-01-01 19:00:00,416C1AE4,30,244,01/01/2019,19:00:00,19,26.62,26.64,54.00,0.12,26.66,1.00,26.92,0.00,43.00,481.67
2019-01-01 20:00:00,416C1AE4,30,244,01/01/2019,20:00:00,20,26.49,26.44,54.00,0.12,26.39,0.99,24.92,0.00,43.42,478.00
2019-01-01 21:00:00,416C1AE4,30,244,01/01/2019,21:00:00,21,26.30,26.27,54.92,0.11,26.25,0.90,23.50,0.00,43.42,472.42
2019-01-01 22:00:00,416C1AE4,30,244,01/01/2019,22:00:00,22,26.15,26.12,55.00,0.11,26.10,0.90,22.08,0.00,43.00,466.92
2019-01-01 23:00:00,416C1AE4,30,244,01/01/2019,23:00:00,23,26.04,26.02,55.00,0.11,26.00,0.90,21.33,0.00,43.17,462.17
2019-01-02 00:00:00,416C1AE4,30,244,02/01/2019,00:00:00,0,25.98,25.95,55.00,0.11,25.92,0.90,20.92,0.00,43.33,457.75
2019-01-02 01:00:00,416C1AE4,30,244,02/01/2019,01:00:00,1,25.94,25.88,55.00,0.11,25.83,0.83,20.00,0.00,43.08,454.58
2019-01-02 02:00:00,416C1AE4,30,244,02/01/2019,02:00:00,2,25.86,25.83,55.00,0.11,25.81,0.80,20.00,0.00,43.00,451.42
2019-01-02 03:00:00,416C1AE4,30,244,02/01/2019,03:00:00,3,25.73,25.72,55.83,0.10,25.72,0.80,19.08,0.00,43.17,448.50
2019-01-02 04:00:00,416C1AE4,30,244,02/01/2019,04:00:00,4,25.62,25.61,56.00,0.10,25.61,0.80,18.42,0.00,43.08,446.08
2019-01-02 05:00:00,416C1AE4,30,244,02/01/2019,05:00:00,5,25.56,25.55,56.08,0.10,25.55,0.80,18.00,0.00,43.25,444.08
2019-01-02 06:00:00,416C1AE4,30,244,02/01/2019,06:00:00,6,25.51,25.53,57.08,0.10,25.54,0.80,17.92,0.00,43.25,442.50
2019-01-02 07:00:00,416C1AE4,30,244,02/01/2019,07:00:00,7,25.03,24.87,59.08,0.13,24.69,0.59,12.67,0.00,44.75,448.42
2019-01-02 08:00:00,416C1AE4,30,244,02/01/2019,08:00:00,8,23.56,23.31,54.42,0.12,23.06,0.17,10.00,0.00,44.92,471.67
2019-01-02 09:00:00,416C1AE4,30,244,02/01/2019,09:00:00,9,22.72,22.84,56.42,0.09,22.94,0.12,10.00,0.00,46.17,505.42
2019-01-02 10:00:00,416C1AE4,30,244,02/01/2019,10:00:00,10,22.51,22.77,57.00,0.08,22.97,0.10,10.00,0.00,44.75,538.92
2019-01-02 11:00:00,416C1AE4,30,244,02/01/2019,11:00:00,11,22.44,22.75,57.25,0.06,22.96,0.09,10.00,0.00,44.67,548.17
2019-01-02 12:00:00,416C1AE4,30,244,02/01/2019,12:00:00,12,22.53,22.88,58.08,0.06,23.13,0.10,10.00,0.00,44.83,536.50
2019-01-02 13:00:00,416C1AE4,30,244,02/01/2019,13:00:00,13,22.48,22.84,58.08,0.06,23.08,0.10,10.00,0.00,44.83,539.42
2019-01-02 14:00:00,416C1AE4,30,244,02/01/2019,14:00:00,14,22.51,22.84,58.00,0.07,23.07,0.12,10.00,0.00,44.67,538.42
2019-01-02 15:00:00,416C1AE4,30,244,02/01/2019,15:00:00,15,22.64,22.91,57.83,0.07,23.10,0.17,10.00,0.00,44.42,542.08
2019-01-02 16:00:00,416C1AE4,30,244,02/01/2019,16:00:00,16,22.60,22.86,57.83,0.07,23.05,0.11,10.00,0.00,44.25,536.67
2019-01-02 17:00:00,416C1AE4,30,244,02/01/2019,17:00:00,17,22.54,22.80,58.00,0.07,22.99,0.10,10.00,0.00,44.00,498.92
2019-01-02 18:00:00,416C1AE4,30,244,02/01/2019,18:00:00,18,22.59,22.85,59.25,0.06,23.04,0.13,10.00,0.00,44.00,472.50
2019-01-02 19:00:00,416C1AE4,30,244,02/01/2019,19:00:00,19,23.02,23.45,62.58,0.05,23.69,0.32,10.00,0.00,44.17,462.83
2019-01-02 20:00:00,416C1AE4,30,244,02/01/2019,20:00:00,20,23.61,23.98,60.67,0.06,24.22,0.44,10.00,0.00,44.58,467.25
2019-01-02 21:00:00,416C1AE4,30,244,02/01/2019,21:00:00,21,24.02,24.23,60.00,0.07,24.40,0.50,10.50,0.00,44.00,476.92
2019-01-02 22:00:00,416C1AE4,30,244,02/01/2019,22:00:00,22,24.23,24.39,60.83,0.08,24.51,0.58,11.67,0.00,43.33,480.33
2019-01-02 23:00:00,416C1AE4,30,244,02/01/2019,23:00:00,23,24.33,24.45,61.00,0.08,24.54,0.60,12.00,0.00,43.08,476.83
2019-01-03 00:00:00,416C1AE4,30,244,03/01/2019,00:00:00,0,24.38,24.46,61.00,0.08,24.52,0.60,12.00,0.00,43.00,472.58
2019-01-03 01:00:00,416C1AE4,30,244,03/01/2019,01:00:00,1,24.43,24.48,61.00,0.09,24.53,0.60,12.00,0.00,43.17,469.50
2019-01-03 02:00:00,416C1AE4,30,244,03/01/2019,02:00:00,2,24.45,24.50,61.00,0.09,24.53,0.60,12.00,0.00,43.00,466.17
2019-01-03 03:00:00,416C1AE4,30,244,03/01/2019,03:00:00,3,24.47,24.50,61.33,0.09,24.54,0.60,12.00,0.00,43.08,462.50
2019-01-03 04:00:00,416C1AE4,30,244,03/01/2019,04:00:00,4,24.47,24.51,62.00,0.09,24.55,0.60,12.00,0.00,43.00,459.50
2019-01-03 05:00:00,416C1AE4,30,244,03/01/2019,05:00:00,5,24.49,24.53,62.00,0.09,24.56,0.60,12.50,0.00,43.00,456.67
2019-01-03 06:00:00,416C1AE4,30,244,03/01/2019,06:00:00,6,24.52,24.58,62.00,0.09,24.63,0.60,12.92,0.00,43.08,454.42
2019-01-03 07:00:00,416C1AE4,30,244,03/01/2019,07:00:00,7,24.31,24.34,63.33,0.10,24.37,0.53,11.50,0.00,44.00,455.17
2019-01-03 08:00:00,416C1AE4,30,244,03/01/2019,08:00:00,8,23.01,22.83,56.42,0.10,22.65,0.08,10.00,0.00,44.42,467.50
2019-01-03 09:00:00,416C1AE4,30,244,03/01/2019,09:00:00,9,22.45,22.61,58.00,0.07,22.73,0.09,10.00,0.00,44.67,492.92
2019-01-03 10:00:00,416C1AE4,30,244,03/01/2019,10:00:00,10,22.53,22.87,58.75,0.06,23.11,0.11,10.00,0.00,44.33,509.67
2019-01-03 11:00:00,416C1AE4,30,244,03/01/2019,11:00:00,11,22.60,22.95,58.00,0.06,23.18,0.18,10.00,0.00,44.17,531.67
2019-01-03 12:00:00,416C1AE4,30,244,03/01/2019,12:00:00,12,22.71,22.96,58.08,0.07,23.15,0.17,10.00,0.00,44.17,545.58
2019-01-03 13:00:00,416C1AE4,30,244,03/01/2019,13:00:00,13,22.66,22.99,58.25,0.06,23.23,0.20,10.00,0.00,44.83,539.17
2019-01-03 14:00:00,416C1AE4,30,244,03/01/2019,14:00:00,14,22.64,22.96,58.00,0.06,23.19,0.19,10.00,0.00,44.00,537.08
2019-01-03 15:00:00,416C1AE4,30,244,03/01/2019,15:00:00,15,22.57,22.91,58.00,0.06,23.15,0.15,10.00,0.00,44.25,556.83
2019-01-03 16:00:00,416C1AE4,30,244,03/01/2019,16:00:00,16,22.68,23.05,58.00,0.06,23.30,0.20,10.00,0.00,44.58,556.58
2019-01-03 17:00:00,416C1AE4,30,244,03/01/2019,17:00:00,17,22.69,22.90,57.08,0.07,23.05,0.15,10.00,0.00,44.58,529.42
2019-01-03 18:00:00,416C1AE4,30,244,03/01/2019,18:00:00,18,22.60,22.79,57.67,0.07,22.93,0.11,10.00,0.00,44.00,487.58
2019-01-03 19:00:00,416C1AE4,30,244,03/01/2019,19:00:00,19,22.93,23.33,60.58,0.05,23.57,0.26,10.00,0.00,43.58,478.25
2019-01-03 20:00:00,416C1AE4,30,244,03/01/2019,20:00:00,20,23.52,23.76,60.00,0.06,23.92,0.39,10.00,0.00,43.75,483.50
2019-01-03 21:00:00,416C1AE4,30,244,03/01/2019,21:00:00,21,23.87,24.05,60.00,0.07,24.19,0.48,10.00,0.00,43.08,481.33
2019-01-03 22:00:00,416C1AE4,30,244,03/01/2019,22:00:00,22,23.98,24.12,60.17,0.07,24.24,0.50,10.00,0.00,43.42,476.67
